machine_id,window_start,window_end,sample_count,cycle_start,cycle_end,pressure_min,pressure_max,pressure_avg,pressure_std,pressure_trend,temperature_min,temperature_max,temperature_avg,temperature_std,temperature_trend,speed_min,speed_max,speed_avg,speed_std,speed_trend,rul,risk_label
1,1777391310000,1777391315000,6,1,6,641.82,642.37,642.19,0.195874,0.28,1582.79,1591.82,1586.603333,3.461838,-5.23,1398.37,1406.22,1402.4,2.521303,-2.23,186,0
1,1777391310000,1777391315000,6,1,6,641.82,642.37,642.19,0.195874,0.28,1582.79,1591.82,1586.603333,3.461838,-5.23,1398.37,1406.22,1402.4,2.521303,-2.23,186,0
1,1777391315000,1777391320000,10,7,16,641.71,643.07,642.319,0.342942,-0.35,1581.75,1592.95,1586.96,4.34152,-4.34,1394.8,1404.5,1400.141,2.440903,6.73,176,0
1,1777391315000,1777391320000,10,7,16,641.71,643.07,642.319,0.342942,-0.35,1581.75,1592.95,1586.96,4.34152,-4.34,1394.8,1404.5,1400.141,2.440903,6.73,176,0
1,1777391320000,1777391325000,9,17,25,641.79,643.04,642.495556,0.353242,0.19,1581.11,1594.1,1588.532222,3.89992,9.14,1394.75,1405.23,1399.255556,2.803114,-0.56,167,0
1,1777391320000,1777391325000,9,17,25,641.79,643.04,642.495556,0.353242,0.19,1581.11,1594.1,1588.532222,3.89992,9.14,1394.75,1405.23,1399.255556,2.803114,-0.56,167,0
1,1777391325000,1777391330000,10,26,35,641.91,642.71,642.31,0.229652,0.28,1581.47,1593.52,1587.617,3.817892,0.92,1396.07,1403.0,1399.728,2.450897,6.93,157,0
1,1777391325000,1777391330000,10,26,35,641.91,642.71,642.31,0.229652,0.28,1581.47,1593.52,1587.617,3.817892,0.92,1396.07,1403.0,1399.728,2.450897,6.93,157,0
1,1777391330000,1777391335000,10,36,45,641.93,642.54,642.193,0.22352,-0.61,1579.11,1591.52,1585.257,4.12968,5.22,1398.9,1406.05,1401.74,2.375736,-4.34,147,0
1,1777391330000,1777391335000,10,36,45,641.93,642.54,642.193,0.22352,-0.61,1579.11,1591.52,1585.257,4.12968,5.22,1398.9,1406.05,1401.74,2.375736,-4.34,147,0
1,1777391335000,1777391340000,10,46,55,641.89,642.81,642.454,0.278575,-0.02,1579.82,1592.59,1585.663,3.734983,-3.34,1395.57,1403.62,1400.573,2.331408,0.31,137,0
1,1777391335000,1777391340000,10,46,55,641.89,642.81,642.454,0.278575,-0.02,1579.82,1592.59,1585.663,3.734983,-3.34,1395.57,1403.62,1400.573,2.331408,0.31,137,0
1,1777391340000,1777391345000,10,56,65,641.9,642.6,642.257,0.190055,-0.21,1581.59,1596.72,1586.644,4.623545,-1.61,1395.38,1405.52,1401.191,2.872248,2.48,127,0
1,1777391340000,1777391345000,10,56,65,641.9,642.6,642.257,0.190055,-0.21,1581.59,1596.72,1586.644,4.623545,-1.61,1395.38,1405.52,1401.191,2.872248,2.48,127,0
1,1777391345000,1777391350000,10,66,75,641.96,642.96,642.383,0.247712,0.46,1579.25,1592.04,1585.417,4.368645,-3.85,1394.82,1406.81,1401.511,3.233479,1.96,117,0
1,1777391345000,1777391350000,10,66,75,641.96,642.96,642.383,0.247712,0.46,1579.25,1592.04,1585.417,4.368645,-3.85,1394.82,1406.81,1401.511,3.233479,1.96,117,0
1,1777391350000,1777391355000,9,76,84,641.94,642.73,642.32,0.302361,0.43,1580.76,1591.96,1586.461111,3.320667,-3.69,1393.58,1406.6,1401.745556,3.904812,7.66,108,0
1,1777391350000,1777391355000,9,76,84,641.94,642.73,642.32,0.302361,0.43,1580.76,1591.96,1586.461111,3.320667,-3.69,1393.58,1406.6,1401.745556,3.904812,7.66,108,0
1,1777391355000,1777391360000,10,85,94,641.84,642.89,642.349,0.349355,0.17,1581.29,1593.74,1586.789,3.61156,-6.85,1400.77,1413.1,1406.281,3.925067,-1.02,98,0
1,1777391355000,1777391360000,10,85,94,641.84,642.89,642.349,0.349355,0.17,1581.29,1593.74,1586.789,3.61156,-6.85,1400.77,1413.1,1406.281,3.925067,-1.02,98,0
1,1777391360000,1777391365000,11,95,105,642.0,642.86,642.355455,0.311021,-0.57,1577.6,1595.77,1587.670909,5.095462,13.03,1395.16,1411.35,1404.965455,4.106216,-3.85,87,0
1,1777391360000,1777391365000,11,95,105,642.0,642.86,642.355455,0.311021,-0.57,1577.6,1595.77,1587.670909,5.095462,13.03,1395.16,1411.35,1404.965455,4.106216,-3.85,87,0
1,1777391365000,1777391370000,9,106,114,642.31,643.49,642.673333,0.310662,-0.37,1584.38,1595.13,1588.517778,3.057089,-0.63,1399.47,1409.1,1404.614444,3.232268,-1.48,78,0
1,1777391365000,1777391370000,9,106,114,642.31,643.49,642.673333,0.310662,-0.37,1584.38,1595.13,1588.517778,3.057089,-0.63,1399.47,1409.1,1404.614444,3.232268,-1.48,78,0
1,1777391370000,1777391375000,10,115,124,642.34,643.39,642.73,0.336244,-0.18,1580.31,1596.8,1590.221,4.916449,-7.7,1401.99,1413.97,1407.061,3.920279,-4.32,68,0
1,1777391370000,1777391375000,10,115,124,642.34,643.39,642.73,0.336244,-0.18,1580.31,1596.8,1590.221,4.916449,-7.7,1401.99,1413.97,1407.061,3.920279,-4.32,68,0
1,1777391375000,1777391380000,10,125,135,642.41,643.19,642.712,0.281524,-0.51,1582.64,1596.06,1588.614,4.242057,7.17,1399.49,1418.5,1408.809,4.859478,3.69,57,0
1,1777391375000,1777391380000,10,125,135,642.41,643.19,642.712,0.281524,-0.51,1582.64,1596.06,1588.614,4.242057,7.17,1399.49,1418.5,1408.809,4.859478,3.69,57,0
1,1777391380000,1777391385000,9,134,143,642.39,643.11,642.748889,0.242507,-0.08,1583.62,1595.29,1590.492222,3.829937,9.48,1402.67,1415.25,1408.821111,4.589889,1.54,49,0
1,1777391380000,1777391385000,9,134,143,642.39,643.11,642.748889,0.242507,-0.08,1583.62,1595.29,1590.492222,3.829937,9.48,1402.67,1415.25,1408.821111,4.589889,1.54,49,0
1,1777391385000,1777391390000,10,144,153,642.25,643.09,642.847,0.239334,-0.1,1586.75,1598.6,1592.039,3.306943,-2.72,1405.76,1420.83,1411.331,3.851097,8.8,39,0
1,1777391385000,1777391390000,10,144,153,642.25,643.09,642.847,0.239334,-0.1,1586.75,1598.6,1592.039,3.306943,-2.72,1405.76,1420.83,1411.331,3.851097,8.8,39,0
1,1777391390000,1777391395000,11,154,165,642.2,643.45,642.896364,0.289208,0.04,1585.61,1600.54,1593.825455,4.293196,3.51,1408.09,1423.48,1416.651818,4.679465,5.02,27,1
1,1777391390000,1777391395000,11,154,165,642.2,643.45,642.896364,0.289208,0.04,1585.61,1600.54,1593.825455,4.293196,3.51,1408.09,1423.48,1416.651818,4.679465,5.02,27,1
1,1777391395000,1777391400000,9,164,173,642.68,643.34,643.098889,0.206314,-0.2,1590.16,1598.96,1593.114444,2.773698,-8.27,1413.73,1425.27,1417.666667,3.592885,8.51,19,1
1,1777391395000,1777391400000,9,164,173,642.68,643.34,643.098889,0.206314,-0.2,1590.16,1598.96,1593.114444,2.773698,-8.27,1413.73,1425.27,1417.666667,3.592885,8.51,19,1
1,1777391400000,1777391405000,9,174,182,642.64,644.21,643.374444,0.476284,1.57,1592.27,1605.33,1599.326667,4.340289,2.27,1417.14,1429.45,1423.368889,3.292647,4.04,10,1
1,1777391400000,1777391405000,9,174,182,642.64,644.21,643.374444,0.476284,1.57,1592.27,1605.33,1599.326667,4.340289,2.27,1417.14,1429.45,1423.368889,3.292647,4.04,10,1
1,1777391405000,1777391410000,10,183,192,643.24,644.18,643.639,0.298913,0.3,1592.1,1605.44,1599.493,4.012513,4.18,1419.03,1432.52,1425.923,3.334649,8.17,0,1
1,1777391405000,1777391410000,10,183,192,643.24,644.18,643.639,0.298913,0.3,1592.1,1605.44,1599.493,4.012513,4.18,1419.03,1432.52,1425.923,3.334649,8.17,0,1
2,1777391405000,1777391410000,1,3,3,641.55,641.55,641.55,0.0,0.0,1588.32,1588.32,1588.32,0.0,0.0,1398.96,1398.96,1398.96,0.0,0.0,284,0
2,1777391405000,1777391410000,1,3,3,641.55,641.55,641.55,0.0,0.0,1588.32,1588.32,1588.32,0.0,0.0,1398.96,1398.96,1398.96,0.0,0.0,284,0
2,1777391410000,1777391415000,9,1,10,641.3,642.55,641.885556,0.315493,0.1,1577.5,1590.41,1584.203333,3.927886,2.53,1391.28,1402.52,1396.186667,3.292591,3.58,277,0
2,1777391410000,1777391415000,9,1,10,641.3,642.55,641.885556,0.315493,0.1,1577.5,1590.41,1584.203333,3.927886,2.53,1391.28,1402.52,1396.186667,3.292591,3.58,277,0
2,1777391415000,1777391420000,10,11,20,641.64,642.43,641.983,0.283551,0.08,1576.84,1589.21,1583.363,3.746695,-6.27,1390.27,1402.11,1398.242,4.171299,-6.91,267,0
2,1777391415000,1777391420000,10,11,20,641.64,642.43,641.983,0.283551,0.08,1576.84,1589.21,1583.363,3.746695,-6.27,1390.27,1402.11,1398.242,4.171299,-6.91,267,0
2,1777391420000,1777391425000,11,21,33,641.78,642.37,642.005455,0.173905,-0.27,1575.38,1590.32,1582.601818,3.78398,10.81,1387.5,1402.31,1395.827273,3.77654,2.79,254,0
2,1777391420000,1777391425000,11,21,33,641.78,642.37,642.005455,0.173905,-0.27,1575.38,1590.32,1582.601818,3.78398,10.81,1387.5,1402.31,1395.827273,3.77654,2.79,254,0
2,1777391425000,1777391430000,8,31,39,641.27,642.22,641.82875,0.343745,0.03,1575.73,1585.69,1582.7775,3.290941,5.83,1390.94,1397.75,1393.9375,2.627931,0.55,248,0
2,1777391425000,1777391430000,8,31,39,641.27,642.22,641.82875,0.343745,0.03,1575.73,1585.69,1582.7775,3.290941,5.83,1390.94,1397.75,1393.9375,2.627931,0.55,248,0
2,1777391430000,1777391435000,10,40,49,642.01,642.85,642.227,0.253419,0.83,1575.45,1586.71,1582.207,3.403622,1.17,1391.6,1398.74,1396.065,2.703458,-1.88,238,0
2,1777391430000,1777391435000,10,40,49,642.01,642.85,642.227,0.253419,0.83,1575.45,1586.71,1582.207,3.403622,1.17,1391.6,1398.74,1396.065,2.703458,-1.88,238,0
2,1777391435000,1777391440000,11,50,63,641.52,642.5,642.046364,0.315862,-0.11,1575.83,1588.48,1583.618182,3.552228,-2.03,1387.16,1405.33,1395.052727,5.587307,-4.73,224,0
2,1777391435000,1777391440000,11,50,63,641.52,642.5,642.046364,0.315862,-0.11,1575.83,1588.48,1583.618182,3.552228,-2.03,1387.16,1405.33,1395.052727,5.587307,-4.73,224,0
2,1777391440000,1777391445000,9,60,69,641.66,642.73,642.147778,0.349723,0.64,1577.16,1587.63,1583.11,3.444954,1.9,1394.01,1401.66,1398.168889,2.65036,2.89,218,0
2,1777391440000,1777391445000,9,60,69,641.66,642.73,642.147778,0.349723,0.64,1577.16,1587.63,1583.11,3.444954,1.9,1394.01,1401.66,1398.168889,2.65036,2.89,218,0
2,1777391445000,1777391450000,10,70,79,641.62,642.48,642.043,0.333948,-0.14,1578.27,1593.24,1586.015,3.661107,-7.65,1390.64,1403.09,1396.978,3.517675,1.21,208,0
2,1777391445000,1777391450000,10,70,79,641.62,642.48,642.043,0.333948,-0.14,1578.27,1593.24,1586.015,3.661107,-7.65,1390.64,1403.09,1396.978,3.517675,1.21,208,0
2,1777391450000,1777391455000,11,80,93,641.37,642.41,641.947273,0.305974,0.84,1578.31,1591.68,1585.450909,3.846523,3.35,1390.12,1402.78,1397.240909,3.849388,-1.52,194,0
2,1777391450000,1777391455000,11,80,93,641.37,642.41,641.947273,0.305974,0.84,1578.31,1591.68,1585.450909,3.846523,3.35,1390.12,1402.78,1397.240909,3.849388,-1.52,194,0
2,1777391455000,1777391460000,8,90,98,641.73,642.56,642.17,0.24612,-0.33,1576.94,1587.84,1583.12375,3.525049,7.07,1395.39,1405.34,1400.41625,2.709243,-4.26,189,0
2,1777391455000,1777391460000,8,90,98,641.73,642.56,642.17,0.24612,-0.33,1576.94,1587.84,1583.12375,3.525049,7.07,1395.39,1405.34,1400.41625,2.709243,-4.26,189,0
2,1777391460000,1777391465000,10,99,108,641.87,642.52,642.151,0.221244,0.48,1578.45,1590.24,1584.459,3.192931,-3.78,1392.16,1407.05,1399.727,4.084221,1.96,179,0
2,1777391460000,1777391465000,10,99,108,641.87,642.52,642.151,0.221244,0.48,1578.45,1590.24,1584.459,3.192931,-3.78,1392.16,1407.05,1399.727,4.084221,1.96,179,0
2,1777391465000,1777391470000,10,109,118,641.95,642.49,642.168,0.175146,-0.17,1576.56,1590.41,1582.515,4.420679,-9.92,1392.9,1404.74,1398.023,3.436778,8.09,169,0
2,1777391465000,1777391470000,10,109,118,641.95,642.49,642.168,0.175146,-0.17,1576.56,1590.41,1582.515,4.420679,-9.92,1392.9,1404.74,1398.023,3.436778,8.09,169,0
2,1777391470000,1777391475000,10,119,128,641.54,642.71,642.186,0.323765,-1.13,1580.19,1592.2,1586.471,3.189885,7.14,1391.52,1405.27,1399.504,4.083822,-4.53,159,0
2,1777391470000,1777391475000,10,119,128,641.54,642.71,642.186,0.323765,-1.13,1580.19,1592.2,1586.471,3.189885,7.14,1391.52,1405.27,1399.504,4.083822,-4.53,159,0
2,1777391475000,1777391480000,10,129,138,641.66,642.84,642.217,0.355585,0.8,1580.12,1590.59,1585.093,2.923498,-5.23,1393.87,1409.98,1401.631,5.085698,6.54,149,0
2,1777391475000,1777391480000,10,129,138,641.66,642.84,642.217,0.355585,0.8,1580.12,1590.59,1585.093,2.923498,-5.23,1393.87,1409.98,1401.631,5.085698,6.54,149,0
2,1777391480000,1777391485000,10,139,148,641.91,642.65,642.268,0.252618,0.02,1582.72,1593.7,1587.537,3.297184,-6.38,1394.58,1405.09,1401.173,2.852581,-2.57,139,0
2,1777391480000,1777391485000,10,139,148,641.91,642.65,642.268,0.252618,0.02,1582.72,1593.7,1587.537,3.297184,-6.38,1394.58,1405.09,1401.173,2.852581,-2.57,139,0
2,1777391485000,1777391490000,9,149,157,641.96,642.62,642.247778,0.220846,0.01,1578.73,1594.33,1586.777778,4.781512,0.82,1393.74,1413.28,1400.596667,5.262686,-3.78,130,0
2,1777391485000,1777391490000,9,149,157,641.96,642.62,642.247778,0.220846,0.01,1578.73,1594.33,1586.777778,4.781512,0.82,1393.74,1413.28,1400.596667,5.262686,-3.78,130,0
2,1777391490000,1777391495000,11,158,168,641.71,642.88,642.234545,0.391648,0.26,1585.65,1593.95,1589.099091,2.531038,1.79,1394.26,1409.72,1400.903636,4.735167,-9.33,119,0
2,1777391490000,1777391495000,11,158,168,641.71,642.88,642.234545,0.391648,0.26,1585.65,1593.95,1589.099091,2.531038,1.79,1394.26,1409.72,1400.903636,4.735167,-9.33,119,0
2,1777391495000,1777391500000,9,169,177,642.07,642.66,642.312222,0.165515,0.09,1577.26,1589.42,1585.63,3.707976,5.03,1398.26,1410.34,1403.466667,3.759604,-5.75,110,0
2,1777391495000,1777391500000,9,169,177,642.07,642.66,642.312222,0.165515,0.09,1577.26,1589.42,1585.63,3.707976,5.03,1398.26,1410.34,1403.466667,3.759604,-5.75,110,0
2,1777391500000,1777391505000,10,178,187,642.01,642.8,642.484,0.212141,0.26,1581.09,1593.51,1586.368,3.491389,-1.41,1399.24,1408.13,1404.509,3.100314,3.15,100,0
2,1777391500000,1777391505000,10,178,187,642.01,642.8,642.484,0.212141,0.26,1581.09,1593.51,1586.368,3.491389,-1.41,1399.24,1408.13,1404.509,3.100314,3.15,100,0
2,1777391505000,1777391510000,11,188,198,642.13,643.24,642.655455,0.380941,-0.09,1582.97,1596.17,1589.269091,3.973463,5.67,1399.59,1410.18,1404.768182,2.908188,0.57,89,0
2,1777391505000,1777391510000,11,188,198,642.13,643.24,642.655455,0.380941,-0.09,1582.97,1596.17,1589.269091,3.973463,5.67,1399.59,1410.18,1404.768182,2.908188,0.57,89,0
2,1777391510000,1777391515000,9,199,207,641.95,642.74,642.483333,0.230458,0.29,1586.59,1595.57,1590.29,2.731682,3.87,1400.92,1411.14,1406.982222,3.40354,-6.45,80,0
2,1777391510000,1777391515000,9,199,207,641.95,642.74,642.483333,0.230458,0.29,1586.59,1595.57,1590.29,2.731682,3.87,1400.92,1411.14,1406.982222,3.40354,-6.45,80,0
2,1777391515000,1777391520000,9,208,216,642.27,642.97,642.588889,0.229611,-0.14,1583.46,1594.64,1588.204444,3.690201,-6.83,1396.99,1411.63,1406.631111,4.180987,0.75,71,0
2,1777391515000,1777391520000,9,208,216,642.27,642.97,642.588889,0.229611,-0.14,1583.46,1594.64,1588.204444,3.690201,-6.83,1396.99,1411.63,1406.631111,4.180987,0.75,71,0
2,1777391520000,1777391525000,11,217,228,642.67,643.3,642.973636,0.200648,-0.07,1585.11,1601.02,1592.891818,4.780833,15.91,1406.28,1414.63,1409.699091,2.731994,0.93,59,0
2,1777391520000,1777391525000,11,217,228,642.67,643.3,642.973636,0.200648,-0.07,1585.11,1601.02,1592.891818,4.780833,15.91,1406.28,1414.63,1409.699091,2.731994,0.93,59,0
